# Vo=20m/s, pitch=17.35 deg, omega=1.0053 rad/s
#    r [m]   pn [kN/m]  pt [kN/m]
    2.8000    0.6154   -0.0827
   11.0027    0.9674   -0.0235
   16.8710    1.1987    0.5091
   22.9641    3.5744    2.3043
   32.3076    5.0633    2.6882
   41.5730    3.9490    1.6934
   50.4111    3.2421    1.1422
   58.5344    2.7650    0.8214
   65.7501    2.3807    0.6087
   71.9675    2.0339    0.4549
   77.1860    1.7677    0.3518
   78.7133    1.7022    0.3275
   80.1402    1.6456    0.3069
   82.7085    1.5348    0.2711
   84.9252    1.3929    0.2342
   86.8265    1.1818    0.1887
   88.4487    0.8232    0.1229
   89.1660         0         0
